Todos os Resultados da Mega Sena na ordem do sorteio | Rede Loteria,,,,,,,,,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2600,10/06/2023,46,04,37,38,60,18,0,,"12,812,720"
2599,07/06/2023,43,28,34,23,60,47,0,,"7,541,815"
2598,03/06/2023,07,53,14,58,60,24,1,"66,093,916.13","20,446,008"
2597,31/05/2023,58,56,54,26,14,34,0,,"16,681,708"
2596,27/05/2023,35,47,56,39,51,34,0,,"15,872,374"
2595,24/05/2023,52,13,01,39,50,34,0,,"13,054,105"
2594,20/05/2023,07,55,32,26,49,35,0,,"11,291,327"
2593,17/05/2023,14,17,10,32,25,39,0,,"8,599,345"
2592,13/05/2023,51,35,34,28,15,17,0,,"7,233,654"
2591,11/05/2023,30,28,23,11,21,10,1,"43,295,767.40","12,586,452"
2590,09/05/2023,43,36,02,48,28,12,0,,"10,058,174"
2589,06/05/2023,36,01,16,32,15,25,0,,"10,114,510"
2588,03/05/2023,31,22,09,13,57,58,0,,"6,188,572"
2587,29/04/2023,05,22,11,37,10,23,1,"61,056,497.58","22,405,958"
2586,26/04/2023,18,49,41,10,59,53,0,,"18,976,371"
2585,22/04/2023,26,43,59,36,34,14,0,,"15,775,796"
2584,19/04/2023,53,12,36,55,05,01,0,,"11,728,138"
2583,15/04/2023,27,59,02,30,20,52,0,,"11,404,151"
2582,12/04/2023,34,10,21,19,14,17,0,,"7,998,216"
2581,08/04/2023,17,14,39,60,32,36,1,"46,558,149.50","16,638,895"
2580,05/04/2023,43,36,03,29,13,04,0,,"15,011,587"
2579,01/04/2023,10,26,44,05,35,38,0,,"9,024,153"
2578,29/03/2023,47,59,60,37,50,39,2,"37,457,585.34","23,458,048"
2577,25/03/2023,31,44,22,12,50,18,0,,"22,247,684"
2576,22/03/2023,32,29,43,35,38,33,0,,"19,073,385"
2575,18/03/2023,46,04,53,14,12,41,0,,"16,466,269"
2574,16/03/2023,12,43,48,60,44,17,0,,"10,943,693"
2573,14/03/2023,37,06,49,26,32,35,0,,"8,331,344"
2572,11/03/2023,24,22,03,15,07,50,0,,"11,824,218"
2571,08/03/2023,18,51,38,33,09,41,0,,"8,389,778"
2570,04/03/2023,18,26,27,47,50,08,1,"33,139,056.49","17,805,338"
2569,01/03/2023,06,07,28,31,25,52,0,,"10,722,677"
2568,25/02/2023,22,29,49,35,16,38,0,,"8,072,003"
2567,23/02/2023,33,10,60,58,11,19,1,"8,548,140.96","9,482,848"
2566,18/02/2023,53,23,45,57,11,59,0,,"8,402,771"
2565,16/02/2023,54,13,25,39,09,46,3,"17,626,625.69","15,403,141"
2564,14/02/2023,19,14,08,45,32,07,0,,"7,442,140"
2563,11/02/2023,05,50,30,14,09,38,0,,"10,312,963"
2562,08/02/2023,44,32,57,12,51,06,2,"76,403,943.65","39,287,828"
2561,04/02/2023,22,44,56,51,37,19,0,,"35,889,335"
2560,01/02/2023,52,48,05,20,17,04,0,,"30,338,448"
2559,28/01/2023,12,32,35,20,09,30,0,,"25,447,395"
2558,25/01/2023,10,25,34,02,18,44,0,,"20,149,702"
2557,21/01/2023,13,03,27,25,16,33,0,,"20,296,963"
2556,18/01/2023,34,10,14,02,06,56,0,,"16,667,704"
2555,14/01/2023,45,58,03,20,52,53,0,,"14,626,584"
